sample_index,year,gender,filename,label,notes
1,1838,m,3837__mowbray_chp9of48_seed3837.html,class_of_1838,
3,1838,m,3633__arundell_chp15of53_seed3633.html,class_of_1838,
4,1838,u,3299__anon_guards_hussars_chp21of35_seed3299.html,class_of_1838,
5,1838,w,3144__burdon_lost_evidence_chp18of37_seed3144.html,class_of_1838,
6,1838,w,15309__padget_self-dependence_chp3of16_seed15309.html,class_of_1838,
7,1838,m,3526__hook_gurney_married_chp6of21_seed3526.html,class_of_1838,
8,1838,w,14472__godwin_scheming_chp3of9_seed14472.html,class_of_1838,
9,1838,m,3082__barker_topsail-sheets_chp16of19_seed3082.html,class_of_1838,
10,1838,w,15891__tuite_reclaimed_family_chp19of57_seed15891.html,
11,1838,m,16715__bethune_tales_sketches_scottish_chp3of10_seed16715.html,
